Aishe Code,University Name,State,District,Web Url,University Type,Year Of Establishment,Location,Address
U-0310,"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek",Maharashtra,Nagpur,www.kksanskrituni.digitaluniversity.ac,State Public University,1997,Rural,"Prashaskiya Bhavan, Mauda Road, Ramtek, Dist.Nagpur, Ramtek"
U-0309,"International Institute For Population Sciences, Mumbai",Maharashtra,Mumbai,www.iipsindia.ac.in,Deemed University-Government,1956,Urban,"Govandi Station Road, Deonar, Mumbai"
U-1101,Mgm University,Maharashtra,Chhatrapati Sambhajinagar,www.mgmu.ac.in,State Private University,2019,Urban,"MGM Campus, N - 6, Cidco, Aurangabad"
U-0308,"Institute Of Chemical Technology, Mumbai",Maharashtra,Mumbai,www.ictmumbai.edu.in,Deemed University-Government,1933,Urban,"Institute of Chemical Technology, Nathalal Parekh Marg, Matunga, Mumbai"
U-0307,"Indira Gandhi Institute Of Development Research, Mumbai",Maharashtra,Mumbai,www.igidr.ac.in,Deemed University-Government,1987,Urban,"Gen A.K. Vaidya Marg, Santosh Nagar, Film City Road, Goregaon (East), Mumbai"
U-0306,"Indian Institute Of Technology, Mumbai",Maharashtra,Mumbai,www.iitb.ac.in,Institute of National Importance,1958,Urban,"Indian Institute of Technology Bombay, Adi Shankaracharya Marg, Powai,, Mumbai"
U-0658,"Gondwana University, Gadchiroli",Maharashtra,Gadchiroli,https://unigug.ac.in,State Public University,2011,Urban,"MIDC Road, Complex, Gadchiroli, MIDC Road, Complex, Gadchiroli, Gadchiroli"
U-0979,Symbiosis Skills And Professional University,Maharashtra,Pune,www.sspu.ac.in,State Private University,2017,Urban,"Symbiosis Skills & Professional University (SSPU), Village - Kiwale, Adjoining Pune Mumbai Expressway, Pune 412 101, Maharashtra, India., Pune"
U-0305,"Indian Institute Of Science Education & Research (Iiser), Pune,",Maharashtra,Pune,www.iiserpune.ac.in,Institute of National Importance,2006,Urban,"IISER Pune Campus, Next to National Chemical Laboratory, Dr. Homi Bhabha Road, Pashan, Pune"
U-0304,"Homi Bhabha National Institute, Mumbai",Maharashtra,Mumbai,www.hbni.ac.in,Deemed University-Government,2005,Urban,"Homi Bhabha National Institute, 2nd Floor, , BARC Training School Complex, , Anushaktinagar"
U-0303,"Gokhale Institute Of Politics & Economics, Pune",Maharashtra,Pune,www.gipe.ac.in,Deemed University-Government Aided,1930,Urban,"846 Shivajinagar, BMCC Road, Deccan Gymkhana, Pune"
U-0301,"Dr. D.Y.Patil Vidyapeeth, Pune",Maharashtra,Pune,www.dpu.edu.in,Deemed University-Private,2003,Urban,"Sant Tukaram Nagar, Pimpri, Pune"
U-0300,"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(Former Konkan Krishi Vidyapeeth) Ratnagiri",Maharashtra,Ratnagiri,www.dbskkv.org,State Public University,1972,Rural,"Dapoli, Dapoli, Dapoli"
U-0299,"Dr. Babasaheb Ambedkar Technological University, Lonere",Maharashtra,Raigad,www.dbatu.ac.in,State Public University,1989,Rural,"Dr Babasaheb Ambedkar Technological University Lonere, Lonere, Lonere"
U-0298,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",Maharashtra,Chhatrapati Sambhajinagar,www.bamu.ac.in,State Public University,1958,Urban,"University Campus, Dr. Babasaheb Ambedkar Marathwada University, Aurangabad"
U-0297,"Defence Institute Of Advanced Technology, Girinagar, Pune",Maharashtra,Pune,www.diat.ac.in,Deemed University-Government,1952,Rural,"Girinagar, Pune -25, Maharashtra, Pune"
U-0296,"Deccan College Postgraduate & Research Institute, Pune",Maharashtra,Pune,www.deccancollegepune.org,Deemed University-Government Aided,1939,Urban,"Deccan College Road, Yerwada, Pune"
U-0294,"D.Y. Patil Educational Society , Kolhapur",Maharashtra,Kolhapur,www.dypatilunikop.org,Deemed University-Private,1989,Urban,"869,'E' D.Y.Patil Vidyanagar,Line Bazar, Kasaba Bawada,Kolhapur-416006, Kolhapur"
U-0293,"Central Institute Of Fisheries Education, Fishries University, Mumbai",Maharashtra,Mumbai,http://www.cife.edu.in,Deemed University-Government,1961,Urban,"Panch Marg , Off Yari Road, Versova,, Andheri (W),, Mumbai"
U-0292,"Bharati Vidyapeeth, Pune",Maharashtra,Pune,www.bvuniversity.edu.in,Deemed University-Private,1964,Urban,"Lal Bahadur Shastri Marg, Navi Peth, Pune"
U-1087,Vijaybhoomi University,Maharashtra,Raigad,https://vijaybhoomi.edu.in,State Private University,2018,Rural,"Vijaybhoomi University, Karjat , Jambrung, Jambrung, Post Ambivali"
U-1085,"Somaiya Vidyavihar University, Mumbai",Maharashtra,Mumbai,www.somaiya.edu,State Private University,2019,Urban,"Somaiya Vidyavihar University, Vidyanagar, Vidya Vihar East, Vidyavihar, Mumbai, Maharashtra 400077"
U-0973,"Sanjay Ghodawat University, Kolhapur",Maharashtra,Kolhapur,www.sanjayghodawatuniversity.ac.in,State Private University,2017,Rural,"A/P : Atigre,, Tal. : Hatkanangale,, Atigre"
U-1018,"Indian Institute Of Management, Nagpur",Maharashtra,Nagpur,www.iimnagpur.ac.in,Institute of National Importance,2015,Rural,"Plot No. 1, Sector 20, MIHAN (Non-SEZ), Nagpur"
U-1076,Dr Homi Bhabha State University Mumbai,Maharashtra,Mumbai,www.hbsu.ac.in,State Public University,2019,Urban,"15, Madam Cama Road, Mumbai, Mumbai"
U-1262,Jspm University,Maharashtra,Pune,https://jspmuni.ac.in/,State Private University,1998,-,"JSPM University Pune, Gat No. 720, Nagar Road, Wagholi, Pune, Maharashtra 412207"
U-0877,Sandip University,Maharashtra,Nashik,www.sandipuniversity.edu.in,State Private University,2015,Rural,"Trimbak Road, Mahiravani, Nashik"
U-1336,Ramdeobaba University,Maharashtra,Nagpur,https://www.rbunagpur.in/,State Private University,1984,-,"Ramdeobaba University, Ramdeo Tekdi, Katol Road, Nagpur - 440 013"
U-0880,"Maharashtra National Law University,Nagpur",Maharashtra,Nagpur,www.nlunagpur.ac.in,State Public University,2015,Urban,"Maharashtra National Law University, Nagpur Waranga, PO â€“ Dongargaon (Butibori), Nagpur-441108, Maharashtra, India, Nagpur"
U-0885,Ajeenkya D Y Patil University,Maharashtra,Pune,www.adypu.edu.in,State Private University,2015,Urban,"DY Patil Knowledge City Road, Charholi Budruk, Lohegaon, Pune"
U-0886,Maharashtra National Law University Mumbai,Maharashtra,Mumbai Suburban,www.mnlumumbai.edu.in,State Public University,2014,Urban,"2nd & 6th Floor, MTNL-CETTM Building, Hiranandani Gardens,, Powai"
U-0915,"Maharashtra National Law University, Aurangabad",Maharashtra,Chhatrapati Sambhajinagar,mnlua.ac.in,State Public University,2014,Urban,"Maharashtra National Law University, Aurangabad, Near Raje Sambhaji Sainiki School, Nath Valley Road, , Aurangabad"
U-0888,Vishwakarma University,Maharashtra,Pune,www.vupune.ac.in,State Private University,2017,Urban,"Survey No. 2,3,4 Laxminagar, Kondhwa Budruk, Pune"
U-0891,"Mit Art, Design And Technology University, Pune",Maharashtra,Pune,www.mituniversity.ac.in,State Private University,2015,Rural,"Rajbaug, Loni Kalbhor,, Pune - 412201 (MS) India, Pune"
U-1307,Mit Vishwaprayag University,Maharashtra,Solapur,https://www.mitvpu.ac.in/,State Private University,2020,-,"MIT Vishwaprayag University (MITVPU), Solapur - Pune Hwy, Kegaon, Maharashtra 413255"
U-1275,Pimpri Chinchwad University,Maharashtra,Pune,https://pcu.edu.in/,State Private University,1990,-,"Pimpri Chinchwad University, Plot No. 44, 49 50, Mohitewadi Rd, Mohitewadi, Maharashtra 412106"
U-0804,"Indian Institute Of Information Technology, Pune",Maharashtra,Pune,www.iiitp.ac.in,Institute of National Importance,2016,Urban,"Near Bopdev Ghat Kondhwa Annexe , A/ P Pisoli (Yewalewadi) Tal - Haveli, PUNE"
U-1278,Universal Ai University,Maharashtra,Raigad,https://www.universalai.in/,State Private University,2009,-,"Universal Ai University, PO, Gaurkamath, Kushiwali, Vadap, Maharashtra 410201"
U-1283,"Indian Institute Of Management,Mumbai",Maharashtra,Mumbai,https://iimmumbai.ac.in/,Institute of National Importance,1963,-,"Indian Institute Of Management–Mumbai (IIM–Mumbai), Vihar Lake Rd, near The Residence Hotel, NITIE Admin Block, Powai, Mumbai, Maharashtra 400087"
U-1325,Laxminarayan Innovation Technological (Lit) University,Maharashtra,Nagpur,https://litu.edu.in/,State Public University,1942,-,"Laxminarayan Innovation Technological University, Amravati Road, Ram Nagar, Nagpur, Maharashtra 440033"
U-0311,"Krishna Vishwa Vidyapeeth, Karad, Maharashtra",Maharashtra,Satara,www.kvv.edu.in,Deemed University-Private,2005,Rural,"Near Dhebewadi Road, Pune - Bangalore National Highway No. 4, Malakapur, Karad, Taluka Karad, Karad"
U-1253,Dr P A Inamdar University,Maharashtra,Pune,https://drpaiu.edu.in/,State Private University,1993,-,"Dr. P. A. Inamdar University, Pune, GV4G+3F9, Pune, Maharashtra 411001"
U-0995,Amity University Mumbai,Maharashtra,Raigad,www.amity.edu,State Private University,2014,Rural,"Mumbai-Pune Expree Way, Bhatan, Post - Somathane, Panvel"
U-1246,Itm Skills University,Maharashtra,Raigad,https://isu.ac.in/,State Private University,1991,-,"ITM Skills University, Navi Mumbai, Plot 25 & 26 Institutional Area, Sector 4, Kharghar, Mumbai, Maharashtra 410210"
U-0841,"Indian Institute Of Information Technology, Nagpur",Maharashtra,Nagpur,www.iiitn.ac.in,Institute of National Importance,2016,Rural,"Survey No. 140,141/1 behind Br. Sheshrao Wankhade Shetkari Sahkari Soot Girni,, Village - Waranga, PO - Dongargaon(Butibori), Tahsil- Nagpur (Rural),, NAGPUR"
U-1305,National Law University Of Meghalaya,Meghalaya,East Khasi Hills,https://nlumeg.ac.in/,State Public University,2022,-,"National Law University Meghalaya, Jingkieng, Nongthymmai, Shillong, Meghalaya 793014"
U-0992,Spicer Adventist University,Maharashtra,Pune,https://sau.edu.in,State Private University,2014,Urban,"Spicer Adventist University, Aundh Road, Pune"
U-0987,Chhatrapati Shivaji Maharaj University,Maharashtra,Raigad,www.csmu.ac.in,State Private University,2018,Rural,"Near Shedung Toll Plaza, Old Mumbai-Pune Highway, Panvel, Navi Mumbai, Panvel"
U-1238,Maharashtra State Skills University,Maharashtra,Mumbai,www.mssu.ac.in,State Public University,2021,Urban,"Maharashtra State Skills University(MSSU) - Maharashtra’s First Skills University, 1st Floor, Elphistone Technical High School Metro Chowk, Nagarpalika Marg, Dhobi Talao, Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001"
